algo,iter,groupSize,intCosSim,intCosSimBin,topintRatio,intJaccard
ranClusterOnce,1,30,0.3272624824103604,0.22283281154650522,0.2,0.2243295019157088
ranClusterOnce,1,30,0.3028883163316234,0.23570880368478245,0.36666666666666664,0.21448275862068966
ranClusterOnce,1,30,0.26414743052684914,0.24350937733977154,0.4,0.18873563218390804
ranClusterOnce,1,30,0.31805031397353184,0.24813496249643557,0.3333333333333333,0.22206896551724137
ranClusterOnce,1,30,0.299558693755457,0.2503059742162847,0.43333333333333335,0.22065134099616857
ClusterPerDayByInterest,1,34,0.4278216048472635,0.3629069541565192,0.4411764705882353,0.3022281639928699
ClusterPerDayByInterest,1,24,0.42384283216560387,0.41158007248395556,0.5833333333333334,0.32258454106280193
ClusterPerDayByInterest,1,25,0.6123660461415805,0.7584950454479182,0.84,0.47
ClusterPerDayByInterest,1,26,0.6101036803615019,0.7097618944414145,0.8461538461538461,0.4678974358974359
ClusterPerDayByInterest,1,41,0.7143380238025138,0.9072384664710929,0.975609756097561,0.5804878048780487
ClusterPerDayByInterest,1,41,0.7160378370343642,0.9057783246439747,0.975609756097561,0.5822154471544715
ClusterPerDayByInterest,1,24,0.6194880637599838,0.7701850111459779,0.875,0.4826086956521739
ClusterPerDayByInterest,1,15,0.7074036071625073,0.846552820254566,0.9333333333333333,0.6039682539682539
ClusterPerDayByInterest,1,39,0.4274070414912386,0.429516573422201,0.5641025641025641,0.3118308591992803
ClusterPerDayByInterest,1,31,0.4748749953293715,0.40974247075741477,0.5161290322580645,0.3335483870967742
ClusterPerDayByInterest,1,28,0.5225977318266909,0.626126308295914,0.75,0.3956349206349206
ClusterPerDayByInterest,1,26,0.5751454483777017,0.5393338137597353,0.6153846153846154,0.41133333333333333
ClusterPerDayByInterest,1,39,0.42720924105581515,0.4295148201087771,0.5641025641025641,0.31318038686459737
ClusterPerDayByInterest,1,17,0.6808733164965809,0.7993062163357728,0.8235294117647058,0.5533088235294118
ClusterPerDayByInterest,1,40,0.707839272971951,0.8870594609605443,0.95,0.5913034188034189
NormalKmeans,1,50,0.719303845089671,0.9299436072098041,1.0,0.5676598639455782
NormalKmeans,1,19,0.7698973035152219,0.9377484503932894,1.0,0.6405458089668616
NormalKmeans,1,30,0.5303956553864057,0.5214795421456778,0.5666666666666667,0.38720306513409963
NormalKmeans,1,26,0.7111006228909289,0.9606376187327942,1.0,0.5604615384615385
NormalKmeans,1,25,0.6982042787094294,0.9108868354956269,0.96,0.5385555555555556
CCKmeans,1,28,0.5225977318266909,0.626126308295914,0.75,0.3956349206349206
CCKmeans,1,26,0.5751454483777017,0.5393338137597353,0.6153846153846154,0.41133333333333333
CCKmeans,1,39,0.42720924105581515,0.4295148201087771,0.5641025641025641,0.31318038686459737
CCKmeans,1,17,0.6808733164965809,0.7993062163357728,0.8235294117647058,0.5533088235294118
CCKmeans,1,40,0.707839272971951,0.8870594609605443,0.95,0.5913034188034189
