algo,iter,groupSize,intCosSim,intCosSimBin,topintRatio,intJaccard
ClusterPerDayByInterest,4,42,0.7090917326472855,0.8979201914249426,0.9761904761904762,0.5721835075493612
ClusterPerDayByInterest,4,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,4,26,0.5714903929451193,0.7017263811372967,0.8076923076923077,0.437025641025641
ClusterPerDayByInterest,4,33,0.42762892035504685,0.367785447469519,0.48484848484848486,0.2994318181818182
ClusterPerDayByInterest,4,31,0.4777572237687151,0.4347615801908969,0.5161290322580645,0.3371326164874552
ClusterPerDayByInterest,4,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,4,23,0.6277872782493487,0.7869167080448991,0.9130434782608695,0.49881422924901186
ClusterPerDayByInterest,4,28,0.39546046262272,0.3906802107615682,0.5357142857142857,0.3028218694885362
ClusterPerDayByInterest,4,43,0.6836054833602438,0.8483075424707606,0.9534883720930233,0.5511627906976744
NormalKmeans,4,50,0.719303845089671,0.9299436072098041,1.0,0.5676598639455782
NormalKmeans,4,19,0.7698973035152219,0.9377484503932894,1.0,0.6405458089668616
NormalKmeans,4,30,0.5303956553864057,0.5214795421456778,0.5666666666666667,0.38720306513409963
NormalKmeans,4,26,0.7111006228909289,0.9606376187327942,1.0,0.5604615384615385
NormalKmeans,4,25,0.6982042787094294,0.9108868354956269,0.96,0.5385555555555556
CCKmeans,4,31,0.4777572237687151,0.4347615801908969,0.5161290322580645,0.3371326164874552
CCKmeans,4,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
CCKmeans,4,23,0.6277872782493487,0.7869167080448991,0.9130434782608695,0.49881422924901186
CCKmeans,4,28,0.39546046262272,0.3906802107615682,0.5357142857142857,0.3028218694885362
CCKmeans,4,43,0.6836054833602438,0.8483075424707606,0.9534883720930233,0.5511627906976744
ranClusterOnce,5,30,0.332616975019438,0.26871014569598684,0.43333333333333335,0.22969348659003833
ranClusterOnce,5,30,0.3082891836503337,0.2780464872321235,0.43333333333333335,0.23900383141762452
ranClusterOnce,5,30,0.25374869312005066,0.2325907536439606,0.3333333333333333,0.1846360153256705
ranClusterOnce,5,30,0.3038871223577517,0.24295131449985036,0.26666666666666666,0.21045977011494252
ranClusterOnce,5,30,0.34554472937979186,0.2371548112959859,0.3,0.23375478927203064
ClusterPerDayByInterest,5,29,0.48579786227274163,0.5758708693114394,0.7241379310344828,0.36707717569786535
ClusterPerDayByInterest,5,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
ClusterPerDayByInterest,5,38,0.395448513977356,0.3194170146433249,0.39473684210526316,0.2771218587008061
ClusterPerDayByInterest,5,41,0.7143380238025138,0.9072384664710929,0.975609756097561,0.5804878048780487
ClusterPerDayByInterest,5,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,5,33,0.42762892035504685,0.367785447469519,0.48484848484848486,0.2994318181818182
ClusterPerDayByInterest,5,42,0.7090917326472855,0.8979201914249426,0.9761904761904762,0.5721835075493612
ClusterPerDayByInterest,5,25,0.653812590603827,0.7636061246119568,0.88,0.5028888888888889
ClusterPerDayByInterest,5,34,0.4242371298837099,0.4694995320759874,0.6176470588235294,0.31767676767676767
ClusterPerDayByInterest,5,16,0.6163153030305826,0.7285799255062103,0.875,0.5076388888888889
ClusterPerDayByInterest,5,39,0.396633820529507,0.3140849203207112,0.38461538461538464,0.2760908681961314
ClusterPerDayByInterest,5,28,0.4828918310543549,0.5789396577516221,0.75,0.37160493827160496
ClusterPerDayByInterest,5,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
ClusterPerDayByInterest,5,26,0.6464077545014532,0.7484772493979553,0.8461538461538461,0.49143589743589744
ClusterPerDayByInterest,5,40,0.7218549881328125,0.9157882960136067,0.975,0.5913675213675214
NormalKmeans,5,50,0.719303845089671,0.9299436072098041,1.0,0.5676598639455782
NormalKmeans,5,19,0.7698973035152219,0.9377484503932894,1.0,0.6405458089668616
NormalKmeans,5,30,0.5303956553864057,0.5214795421456778,0.5666666666666667,0.38720306513409963
NormalKmeans,5,26,0.7111006228909289,0.9606376187327942,1.0,0.5604615384615385
NormalKmeans,5,25,0.6982042787094294,0.9108868354956269,0.96,0.5385555555555556
CCKmeans,5,39,0.396633820529507,0.3140849203207112,0.38461538461538464,0.2760908681961314
CCKmeans,5,28,0.4828918310543549,0.5789396577516221,0.75,0.37160493827160496
CCKmeans,5,17,0.6083684240093739,0.7130602530451541,0.8235294117647058,0.4883578431372549
CCKmeans,5,26,0.6464077545014532,0.7484772493979553,0.8461538461538461,0.49143589743589744
CCKmeans,5,40,0.7218549881328125,0.9157882960136067,0.975,0.5913675213675214
