algo,totalPopInt,totalInterest,maxInterest,minInterest,budget,startNode,iter
CCKmeans,3.6479906946776652,3.5863725047585286,0.9558767792838319,0.0006161371431361853,200,7,1
ClusterPerDayByInterest,3.436863386372197,3.4704771348882946,0.9660661519730854,0.0006161371431361853,200,7,1
NormalKmeans,3.7709582081783273,4.220013953778177,1.0,0.0018325106891236783,200,7,1
ranClusterOnce,3.4408644137211475,2.6205506526475095,0.891361018301205,0.00025932640495407347,200,7,1
