algo,startNode/endNode,budget,userID,totalPOI,totalCost,totalProfit,totalInterest,reachEndNode,totalPopInt,maxInterest,minInterest,tour,iter,groupID
ranClusterOnce,7,163.51700954486938,88105592@N00,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,53025862@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,41634302@N08,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,7910884@N08,5,458.2475006628387,3.4319169483341376,1.0,True,2.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,28636659@N05,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,12072678@N00,5,458.2475006628387,3.4319169483341376,2.0963528413910093,True,2.7641348948625737,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,22996605@N05,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,69635173@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,23836265@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,25113640@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,71423916@N00,5,458.2475006628387,3.4319169483341376,2.0,True,2.715958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,28309363@N07,5,458.2475006628387,3.4319169483341376,5.095982142857143,True,4.26394954559564,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,81354599@N00,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,42875348@N00,5,458.2475006628387,3.4319169483341376,1.2106788799350687,True,2.321297914134603,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,34314322@N00,5,458.2475006628387,3.4319169483341376,2.0,True,2.715958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
